"","x","y","cause","burntarea","date","juliandate"
"1",325.03488615,74.87501385,"intentional",0.4,1998-01-07,6
"2",284.914976775,304.87501395,"lightning",0,1998-01-07,6
"3",324.87498615,204.87499305,"lightning",0.4,1998-01-07,6
"4",264.8749896,294.874987875,"lightning",0,1998-01-07,6
"5",24.8869959,234.874991325,"other",1.05,1998-01-07,6
"6",115.154823225,94.87498605,"other",3,1998-01-08,7
"7",234.874991325,174.874994775,"accident",0.1,1998-01-08,7
"8",244.9549674,354.874984425,"other",0.02,1998-01-08,7
"9",124.914959325,124.874984325,"accident",0.4,1998-01-09,8
"10",245.0748924,354.874984425,"accident",2.85,1998-01-09,8
"11",95.07486105,264.8749896,"intentional",0.02,1998-01-09,8
"12",95.11483605,264.8749896,"intentional",0.5,1998-01-09,8
"13",265.1947896,84.87499995,"intentional",0.04,1998-01-11,10
"14",335.03487225,184.874980875,"accident",2,1998-01-11,10
"15",164.875008675,84.87499995,"other",1,1998-02-07,37
"16",114.914973225,94.87498605,"accident",6,1998-02-07,37
"17",334.91494725,184.874980875,"accident",0.1,1998-02-07,37
"18",134.8750104,244.8750174,"accident",7,1998-02-07,37
"19",115.194798225,94.87498605,"intentional",0.25,1998-02-08,38
"20",184.874980875,334.87497225,"intentional",0.1,1998-02-08,38
"21",54.875001675,234.874991325,"other",4,1998-02-08,38
"22",64.994912775,244.8750174,"other",0.1,1998-02-08,38
"23",124.954934325,124.874984325,"intentional",6,1998-02-09,39
"24",234.914966325,254.8750035,"accident",11.5,1998-02-09,39
"25",294.874987875,204.87499305,"accident",0.02,1998-02-09,39
"26",175.114844775,234.874991325,"accident",3,1998-02-09,39
"27",274.994940675,84.87499995,"accident",0.02,1998-02-10,40
"28",194.87500695,234.874991325,"accident",1.35,1998-02-16,46
"29",214.875019125,354.874984425,"intentional",12,1998-02-17,47
"30",174.874994775,234.874991325,"other",8,1998-02-17,47
"31",194.91498195,234.874991325,"intentional",0.26,1998-02-20,50
"32",224.875005225,374.8749966,"other",1,1998-02-24,54
"33",264.8749896,314.87500005,"accident",0.1,1998-02-26,56
"34",64.874987775,254.8750035,"accident",3,1998-02-27,57
"35",64.914962775,254.8750035,"other",1,1998-02-27,57
"36",244.8750174,294.874987875,"accident",1,1998-03-03,61
