"","x","y","marks"
"1",0.078,0.091,"blackoak"
"2",0.076,0.266,"blackoak"
"3",0.051,0.225,"blackoak"
"4",0.015,0.366,"blackoak"
"5",0.03,0.426,"blackoak"
"6",0.102,0.474,"blackoak"
"7",0.135,0.498,"blackoak"
"8",0.121,0.489,"blackoak"
"9",0.04,0.596,"blackoak"
"10",0.065,0.608,"blackoak"
"11",0.091,0.587,"blackoak"
"12",0.139,0.627,"blackoak"
"13",0.146,0.671,"blackoak"
"14",0.128,0.705,"blackoak"
"15",0.03,0.665,"blackoak"
"16",0.064,0.739,"blackoak"
"17",0.035,0.776,"blackoak"
"18",0.069,0.769,"blackoak"
"19",0.091,0.748,"blackoak"
"20",0.107,0.728,"blackoak"
"21",0.096,0.767,"blackoak"
"22",0.079,0.776,"blackoak"
"23",0.129,0.815,"blackoak"
"24",0.14,0.839,"blackoak"
"25",0.04,0.844,"blackoak"
"26",0.003,0.857,"blackoak"
"27",0.002,0.858,"blackoak"
"28",0.001,0.887,"blackoak"
"29",0.036,0.859,"blackoak"
"30",0.048,0.883,"blackoak"
"31",0.053,0.907,"blackoak"
"32",0.129,0.917,"blackoak"
"33",0.118,0.975,"blackoak"
"34",0.061,0.976,"blackoak"
"35",0.271,0.986,"blackoak"
"36",0.222,0.921,"blackoak"
"37",0.158,0.939,"blackoak"
"38",0.186,0.611,"blackoak"
"39",0.179,0.495,"blackoak"
"40",0.249,0.487,"blackoak"
"41",0.265,0.465,"blackoak"
"42",0.242,0.557,"blackoak"
"43",0.195,0.554,"blackoak"
"44",0.205,0.545,"blackoak"
"45",0.203,0.514,"blackoak"
"46",0.166,0.528,"blackoak"
"47",0.153,0.51,"blackoak"
"48",0.284,0.32,"blackoak"
"49",0.233,0.015,"blackoak"
"50",0.417,0.268,"blackoak"
"51",0.154,0.08,"blackoak"
"52",0.287,0.018,"blackoak"
"53",0.346,0.37,"blackoak"
"54",0.33,0.367,"blackoak"
"55",0.289,0.381,"blackoak"
"56",0.328,0.418,"blackoak"
"57",0.354,0.469,"blackoak"
"58",0.311,0.492,"blackoak"
"59",0.28,0.471,"blackoak"
"60",0.405,0.497,"blackoak"
"61",0.351,0.567,"blackoak"
"62",0.342,0.594,"blackoak"
"63",0.364,0.587,"blackoak"
"64",0.383,0.819,"blackoak"
"65",0.332,0.84,"blackoak"
"66",0.33,0.869,"blackoak"
"67",0.36,0.853,"blackoak"
"68",0.294,0.88,"blackoak"
"69",0.364,0.886,"blackoak"
"70",0.371,0.882,"blackoak"
"71",0.376,0.878,"blackoak"
"72",0.387,0.869,"blackoak"
"73",0.386,0.9,"blackoak"
"74",0.368,0.922,"blackoak"
"75",0.34,0.975,"blackoak"
"76",0.327,0.984,"blackoak"
"77",0.342,0.945,"blackoak"
"78",0.445,0.977,"blackoak"
"79",0.453,0.733,"blackoak"
"80",0.588,0.032,"blackoak"
"81",0.601,0.003,"blackoak"
"82",0.606,0.069,"blackoak"
"83",0.629,0.093,"blackoak"
"84",0.634,0.155,"blackoak"
"85",0.669,0.326,"blackoak"
"86",0.659,0.416,"blackoak"
"87",0.575,0.36,"blackoak"
"88",0.633,0.422,"blackoak"
"89",0.703,0.764,"blackoak"
"90",0.623,0.873,"blackoak"
"91",0.629,0.866,"blackoak"
"92",0.641,0.899,"blackoak"
"93",0.699,0.932,"blackoak"
"94",0.713,0.976,"blackoak"
"95",0.701,0.979,"blackoak"
"96",0.752,0.864,"blackoak"
"97",0.737,0.861,"blackoak"
"98",0.799,0.908,"blackoak"
"99",0.806,0.897,"blackoak"
"100",0.828,0.906,"blackoak"
"101",0.845,0.906,"blackoak"
"102",0.856,0.894,"blackoak"
"103",0.848,0.883,"blackoak"
"104",0.789,0.893,"blackoak"
"105",0.793,0.977,"blackoak"
"106",0.734,0.973,"blackoak"
"107",0.739,0.963,"blackoak"
"108",0.747,0.979,"blackoak"
"109",0.749,0.975,"blackoak"
"110",0.766,0.973,"blackoak"
"111",0.78,0.946,"blackoak"
"112",0.735,0.766,"blackoak"
"113",0.838,0.841,"blackoak"
"114",0.782,0.629,"blackoak"
"115",0.804,0.699,"blackoak"
"116",0.819,0.681,"blackoak"
"117",0.75,0.693,"blackoak"
"118",0.766,0.149,"blackoak"
"119",0.829,0.169,"blackoak"
"120",0.734,0.063,"blackoak"
"121",0.795,0.117,"blackoak"
"122",0.846,0.109,"blackoak"
"123",0.891,0.105,"blackoak"
"124",0.91,0.184,"blackoak"
"125",0.881,0.386,"blackoak"
"126",0.872,0.864,"blackoak"
"127",0.86,0.893,"blackoak"
"128",0.904,0.889,"blackoak"
"129",0.872,0.925,"blackoak"
"130",0.926,0.879,"blackoak"
"131",0.96,0.874,"blackoak"
"132",0.982,0.918,"blackoak"
"133",0.968,0.91,"blackoak"
"134",0.927,0.95,"blackoak"
"135",0.929,0.961,"blackoak"
"136",0.069,0.014,"hickory"
"137",0.049,0.057,"hickory"
"138",0.094,0.015,"hickory"
"139",0.106,0.036,"hickory"
"140",0.13,0.126,"hickory"
"141",0.081,0.079,"hickory"
"142",0.027,0.068,"hickory"
"143",0.027,0.069,"hickory"
"144",0.034,0.081,"hickory"
"145",0.066,0.132,"hickory"
"146",0.04,0.115,"hickory"
"147",0.031,0.108,"hickory"
"148",0.04,0.074,"hickory"
